run_id,model,subset,event_availability_mode,n_origins,n_points,horizon,mse,mae,rmse,mape,smape,r2
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,9,48.06161280485675,4.28667252668117,6.932648325485489,50.30409286698716,39.91924818232645,0.34030332294957766
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,10,47.99464556384185,4.37262757294276,6.9278167963538015,53.875726483733985,41.00652042495751,0.34011404869940276
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,11,50.987725001745595,4.481997089843459,7.140568955044521,60.11604772545205,41.00592441690527,0.28933809999164806
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,12,48.54012998570204,4.4926833176933965,6.967074707917379,61.16740919693275,40.81011083806684,0.31917347793779594
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,13,47.40567620240514,4.411873991252355,6.885178008040543,60.3563005024282,39.93587201228279,0.33571409616512815
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,14,50.33748708030453,4.566341797147003,7.094891618643976,66.3726570733394,41.47837958083757,0.30139196368657184
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,15,48.00423343244534,4.476881550651828,6.928508745209559,65.83182112221735,40.051443163886205,0.3434043387604627
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,16,51.436063274983944,4.639953612291216,7.171893981019514,68.70625426615959,41.79880179397882,0.3034134168881607
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,17,52.88184902558949,4.721704688583215,7.271990719575314,71.16164232695238,42.843610246996484,0.2891554199623295
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,18,55.29242930975912,4.875891832095276,7.435887930150583,76.46831635410406,43.422503279582415,0.2581896739912576
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,19,55.63079580654684,4.867819014666537,7.45860548672115,78.66316517347516,42.77836121438233,0.25399649395036095
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,20,57.454997089890604,4.925012310362852,7.579907459190422,84.144897404953,43.52980647830233,0.22890558599276323
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,21,62.919364551027236,5.092531257602576,7.932172750957157,73.02328965794122,45.58715394902114,0.14905577668520953
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,22,60.4128770726848,4.9172615981781655,7.772572101478686,76.81329457247715,44.74044278714777,0.16970837911884862
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,23,59.258282045865414,4.992519077585897,7.697940117061538,81.54419265197741,45.47384386487795,0.16877734608963735
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,24,56.447931711271096,4.944561324187842,7.5131838598074445,70.00165656214259,45.31277674860306,0.18806250334949015
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,macro,45.25176611850818,4.2545490346358035,6.623716620023205,60.73915194362299,39.09146727814484,0.37631457098332977
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,overall,7.0649529605081,2.147968334527243,2.6579979233453326,48.47671339721067,36.4285125569001,0.38116656342418587
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,1,2.3986399857389635,1.1765395266669136,1.5487543335658382,26.508143416356454,24.373535178881696,0.7551301130619157
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,2,4.227738790513928,1.6857654673712594,2.056146587798138,43.33890281192204,34.48958861980115,0.5375993540494808
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,3,4.802403888868996,1.8347273622240339,2.1914387714168506,47.563820884944434,36.016771670300415,0.42820133648363246
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,4,6.557638140664935,2.1456488745553153,2.560788577892547,57.43041482698057,40.82416841837919,0.13109784872388974
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,5,7.847124755134606,2.3494283710207258,2.8012719887819904,62.639452504734926,44.42038384110074,-0.020201614618283736
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,6,9.061796932215813,2.5124626227787563,3.010281869230158,73.5749368206135,45.61106112657109,-0.053429279178766054
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,7,8.402166163529902,2.4407036440713066,2.8986490238609264,67.55038755765818,44.62773468807335,0.09862627399361779
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,8,7.813322826753149,2.277374049595424,2.7952321597236156,57.75818716182074,41.265038556851884,0.2538285764408693
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,9,9.462630551579242,2.4136682203837805,3.0761389031672874,54.27933361990617,42.355345971844486,0.17160504731259496
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,10,9.50107856167372,2.3504689761570523,3.0823819623261683,54.385027739104466,40.75281039645389,0.21255751634154307
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,11,7.395567871362789,2.1117261477879117,2.7194793382856925,46.2107149179547,36.465980420084236,0.37895198062059254
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,12,8.639742947728857,2.269199963978359,2.9393439655353126,48.430633374613095,36.2766259928644,0.30102214739322397
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,13,8.850755678620382,2.393959839003427,2.9750219627122725,48.60088134738228,37.31782237544833,0.2762601249496275
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,14,8.357005034341196,2.2593714339392528,2.890848497299918,42.81930662072096,34.93204827132264,0.3605559840439133
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,15,8.22807784270666,2.2693887301853723,2.8684626270367652,39.635701926080266,34.381561419939416,0.3671957032805967
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,16,7.883541063122857,2.189341790335519,2.807764424435009,38.7151946228973,32.97483503180517,0.39489579531434604
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,17,6.847673052389665,2.1336139713014877,2.616805887411152,41.43902646529941,33.408027025681214,0.4720627929510318
20260827T043457543402Z,A05_trace_residual_ungated,recent_event,retrospective_event_start,70,1680,18,5.352571656340698,1.9950525522232057,2.3135625464509704,41.7013181143998,32.044863861527894,0.555739303105272
