run_id,model,horizon,model_mse,climatology_mse,skill_vs_climatology
20260827T043457543402Z,A04_trace_raw_analogue_fusion,2,14.92462508032354,74.25889523301069,0.7990190261585117
20260827T043457543402Z,A04_trace_raw_analogue_fusion,3,20.46618949388525,73.73175068710107,0.7224236600492698
20260827T043457543402Z,A04_trace_raw_analogue_fusion,4,26.34450489274495,72.76903870519097,0.6379709645543845
20260827T043457543402Z,A04_trace_raw_analogue_fusion,5,30.026556700396167,71.8311824012206,0.5819843736849593
20260827T043457543402Z,A04_trace_raw_analogue_fusion,6,32.283249653295535,71.74750530496222,0.5500435936263453
20260827T043457543402Z,A04_trace_raw_analogue_fusion,7,35.056378623907364,72.13315658433255,0.514004650788821
20260827T043457543402Z,A04_trace_raw_analogue_fusion,8,37.271778776965114,72.98146214379322,0.4892979986680779
20260827T043457543402Z,A04_trace_raw_analogue_fusion,9,37.99762895657098,73.44464653052647,0.4826358250525765
20260827T043457543402Z,A04_trace_raw_analogue_fusion,10,39.74965153253215,73.38466272498346,0.45833843126733387
20260827T043457543402Z,A04_trace_raw_analogue_fusion,11,42.825886530104114,72.29489376241072,0.40762224963153393
20260827T043457543402Z,A04_trace_raw_analogue_fusion,12,41.95668169958544,71.78026962888498,0.41548447900087404
20260827T043457543402Z,A04_trace_raw_analogue_fusion,13,43.33329833139703,71.95015477127568,0.39773168703875006
20260827T043457543402Z,A04_trace_raw_analogue_fusion,14,46.262979028491614,72.7711440703363,0.36426753186982275
20260827T043457543402Z,A04_trace_raw_analogue_fusion,15,45.02166233690383,74.14212335220941,0.3927654037768774
20260827T043457543402Z,A04_trace_raw_analogue_fusion,16,46.530189391263704,75.32475104655654,0.38227224458392917
20260827T043457543402Z,A04_trace_raw_analogue_fusion,17,49.5589169390452,76.21281222775809,0.34972984869078305
20260827T043457543402Z,A04_trace_raw_analogue_fusion,18,49.32044831041765,76.67292463242012,0.35674231096744724
20260827T043457543402Z,A04_trace_raw_analogue_fusion,19,50.06498526865682,76.87074222671528,0.34871208709030155
20260827T043457543402Z,A04_trace_raw_analogue_fusion,20,50.80003259362322,76.69896888622593,0.33766994092216274
20260827T043457543402Z,A04_trace_raw_analogue_fusion,21,53.16516858773841,76.26200644536749,0.30286165987745384
20260827T043457543402Z,A04_trace_raw_analogue_fusion,22,54.425559174230585,75.21150580613595,0.2763665799416768
20260827T043457543402Z,A04_trace_raw_analogue_fusion,23,54.05699854518839,73.87431844661157,0.26825722819690045
20260827T043457543402Z,A04_trace_raw_analogue_fusion,24,52.88549404947684,72.21063570541858,0.26762181868579804
20260827T043457543402Z,A05_trace_residual_ungated,1,10.076533184914505,75.40792956065759,0.866373029419817
20260827T043457543402Z,A05_trace_residual_ungated,2,17.02325534910615,74.25889523301069,0.7707580311329664
20260827T043457543402Z,A05_trace_residual_ungated,3,22.885224094719412,73.73175068710107,0.6896150724558471
20260827T043457543402Z,A05_trace_residual_ungated,4,28.93475161900306,72.76903870519097,0.6023755139019171
20260827T043457543402Z,A05_trace_residual_ungated,5,32.92214966377306,71.8311824012206,0.5416732877946664
20260827T043457543402Z,A05_trace_residual_ungated,6,34.8495064164547,71.74750530496222,0.514275705220312
20260827T043457543402Z,A05_trace_residual_ungated,7,38.20398514991512,72.13315658433255,0.4703685938761053
20260827T043457543402Z,A05_trace_residual_ungated,8,45.93520384109701,72.98146214379322,0.3705907981044251
20260827T043457543402Z,A05_trace_residual_ungated,9,47.605996585329535,73.44464653052647,0.3518112097449796
20260827T043457543402Z,A05_trace_residual_ungated,10,47.56270943028833,73.38466272498346,0.35187125396304597
20260827T043457543402Z,A05_trace_residual_ungated,11,50.53035832446027,72.29489376241072,0.3010521809393236
20260827T043457543402Z,A05_trace_residual_ungated,12,48.16570442152967,71.78026962888498,0.3289840694308651
20260827T043457543402Z,A05_trace_residual_ungated,13,47.13735228905419,71.95015477127568,0.344861002191025
20260827T043457543402Z,A05_trace_residual_ungated,14,50.08273192604538,72.7711440703363,0.31177759308499586
20260827T043457543402Z,A05_trace_residual_ungated,15,47.80381678293793,74.14212335220941,0.3552407913130884
20260827T043457543402Z,A05_trace_residual_ungated,16,51.23030399042525,75.32475104655654,0.31987423418418015
20260827T043457543402Z,A05_trace_residual_ungated,17,52.72064550503143,76.21281222775809,0.3082443231791726
20260827T043457543402Z,A05_trace_residual_ungated,18,55.118575361584696,76.67292463242012,0.2811207394809804
20260827T043457543402Z,A05_trace_residual_ungated,19,55.4589421148252,76.87074222671528,0.2785429084155341
20260827T043457543402Z,A05_trace_residual_ungated,20,57.20435225143178,76.69896888622593,0.25417051777726196
20260827T043457543402Z,A05_trace_residual_ungated,21,62.585903298957234,76.26200644536749,0.17933049212660734
20260827T043457543402Z,A05_trace_residual_ungated,22,59.982601901645026,75.21150580613595,0.20248103985239596
20260827T043457543402Z,A05_trace_residual_ungated,23,58.87793390709443,73.87431844661157,0.20299861785330597
20260827T043457543402Z,A05_trace_residual_ungated,24,56.116348712280654,72.21063570541858,0.2228797300551979
20260827T043457543402Z,A06_trace_residual_constant,1,8.420209590867437,75.40792956065759,0.8883378758716047
20260827T043457543402Z,A06_trace_residual_constant,2,14.92462508032354,74.25889523301069,0.7990190261585117
20260827T043457543402Z,A06_trace_residual_constant,3,20.46618949388525,73.73175068710107,0.7224236600492698
20260827T043457543402Z,A06_trace_residual_constant,4,26.34450489274495,72.76903870519097,0.6379709645543845
20260827T043457543402Z,A06_trace_residual_constant,5,30.026556700396167,71.8311824012206,0.5819843736849593
20260827T043457543402Z,A06_trace_residual_constant,6,32.283249653295535,71.74750530496222,0.5500435936263453
20260827T043457543402Z,A06_trace_residual_constant,7,35.056378623907364,72.13315658433255,0.514004650788821
20260827T043457543402Z,A06_trace_residual_constant,8,37.271778776965114,72.98146214379322,0.4892979986680779
20260827T043457543402Z,A06_trace_residual_constant,9,37.99762895657098,73.44464653052647,0.4826358250525765
20260827T043457543402Z,A06_trace_residual_constant,10,39.74965153253215,73.38466272498346,0.45833843126733387
20260827T043457543402Z,A06_trace_residual_constant,11,42.825886530104114,72.29489376241072,0.40762224963153393
20260827T043457543402Z,A06_trace_residual_constant,12,41.95668169958544,71.78026962888498,0.41548447900087404
20260827T043457543402Z,A06_trace_residual_constant,13,43.33329833139703,71.95015477127568,0.39773168703875006
20260827T043457543402Z,A06_trace_residual_constant,14,46.262979028491614,72.7711440703363,0.36426753186982275
20260827T043457543402Z,A06_trace_residual_constant,15,45.02166233690383,74.14212335220941,0.3927654037768774
20260827T043457543402Z,A06_trace_residual_constant,16,46.530189391263704,75.32475104655654,0.38227224458392917
20260827T043457543402Z,A06_trace_residual_constant,17,49.5589169390452,76.21281222775809,0.34972984869078305
20260827T043457543402Z,A06_trace_residual_constant,18,49.32044831041765,76.67292463242012,0.35674231096744724
20260827T043457543402Z,A06_trace_residual_constant,19,50.06498526865682,76.87074222671528,0.34871208709030155
20260827T043457543402Z,A06_trace_residual_constant,20,50.80003259362322,76.69896888622593,0.33766994092216274
20260827T043457543402Z,A06_trace_residual_constant,21,53.16516858773841,76.26200644536749,0.30286165987745384
20260827T043457543402Z,A06_trace_residual_constant,22,54.425559174230585,75.21150580613595,0.2763665799416768
20260827T043457543402Z,A06_trace_residual_constant,23,54.05699854518839,73.87431844661157,0.26825722819690045
20260827T043457543402Z,A06_trace_residual_constant,24,52.88549404947684,72.21063570541858,0.26762181868579804
20260827T043457543402Z,A03_trace_raf_no_event,1,8.454442966917043,75.40792956065759,0.8878839000596569
20260827T043457543402Z,A03_trace_raf_no_event,2,14.939922027278385,74.25889523301069,0.7988130313493128
20260827T043457543402Z,A03_trace_raf_no_event,3,20.457962169988182,73.73175068710107,0.7225352445948746
20260827T043457543402Z,A03_trace_raf_no_event,4,26.354776419944965,72.76903870519097,0.6378298121167162
20260827T043457543402Z,A03_trace_raf_no_event,5,29.967131973365458,71.8311824012206,0.582811656837543
20260827T043457543402Z,A03_trace_raf_no_event,6,32.21685504243186,71.74750530496222,0.5509689862317252
20260827T043457543402Z,A03_trace_raf_no_event,7,34.99834930124001,72.13315658433255,0.5148091258099509
20260827T043457543402Z,A03_trace_raf_no_event,8,37.3083082601384,72.98146214379322,0.4887974676825336
20260827T043457543402Z,A03_trace_raf_no_event,9,37.93356919433942,73.44464653052647,0.48350804331840924
20260827T043457543402Z,A03_trace_raf_no_event,10,39.500320255465134,73.38466272498346,0.46173602509428124
20260827T043457543402Z,A03_trace_raf_no_event,11,42.62582702153545,72.29489376241072,0.41038951987922445
20260827T043457543402Z,A03_trace_raf_no_event,12,41.9297192819214,71.78026962888498,0.41586010335842305
20260827T043457543402Z,A03_trace_raf_no_event,13,43.1705168747571,71.95015477127568,0.39999410686477266
20260827T043457543402Z,A03_trace_raf_no_event,14,46.09758744435136,72.7711440703363,0.3665402951505593
20260827T043457543402Z,A03_trace_raf_no_event,15,44.91286877863094,74.14212335220941,0.394232768796302
20260827T043457543402Z,A03_trace_raf_no_event,16,46.48662692468626,75.32475104655654,0.3828505733002169
20260827T043457543402Z,A03_trace_raf_no_event,17,49.36012149194218,76.21281222775809,0.3523382742466977
20260827T043457543402Z,A03_trace_raf_no_event,18,49.38329206910399,76.67292463242012,0.35592267667036503
20260827T043457543402Z,A03_trace_raf_no_event,19,50.168344864970045,76.87074222671528,0.34736749754531726
20260827T043457543402Z,A03_trace_raf_no_event,20,50.95709980673233,76.69896888622593,0.3356221009656426
20260827T043457543402Z,A03_trace_raf_no_event,21,53.41613220478942,76.26200644536749,0.29957085192800925
20260827T043457543402Z,A03_trace_raf_no_event,22,54.361528599146546,75.21150580613595,0.2772179200976509
20260827T043457543402Z,A03_trace_raf_no_event,23,53.87354470352427,73.87431844661157,0.27074055184064694
20260827T043457543402Z,A03_trace_raf_no_event,24,52.61893422516511,72.21063570541858,0.27131323923219997
20260827T043457543402Z,A00_full_without_events,1,7.829456810154487,75.40792956065759,0.8961719695028023
20260827T043457543402Z,A00_full_without_events,2,14.592996304886526,74.25889523301069,0.8034848719591585
20260827T043457543402Z,A00_full_without_events,3,19.958460965489216,73.73175068710107,0.729309818639898
20260827T043457543402Z,A00_full_without_events,4,23.51443226275389,72.76903870519097,0.6768621287135885
20260827T043457543402Z,A00_full_without_events,5,29.373388312445847,71.8311824012206,0.5910774773499103
20260827T043457543402Z,A00_full_without_events,6,32.51659752697253,71.74750530496222,0.5467912453713759
20260827T043457543402Z,A00_full_without_events,7,36.6044207210898,72.13315658433255,0.49254375582060217
20260827T043457543402Z,A00_full_without_events,8,37.42625603882683,72.98146214379322,0.48718133428065635
20260827T043457543402Z,A00_full_without_events,9,38.33918405562665,73.44464653052647,0.47798531456351434
20260827T043457543402Z,A00_full_without_events,10,39.88715731868339,73.38466272498346,0.4564646639017119
20260827T043457543402Z,A00_full_without_events,11,42.66182130502806,72.29489376241072,0.40989163847129395
20260827T043457543402Z,A00_full_without_events,12,41.640073040657896,71.78026962888498,0.41989528242310226
20260827T043457543402Z,A00_full_without_events,13,41.34938970068802,71.95015477127568,0.4253050624820095
20260827T043457543402Z,A00_full_without_events,14,45.99270970131462,72.7711440703363,0.36798149474109176
20260827T043457543402Z,A00_full_without_events,15,46.13137614984885,74.14212335220941,0.37779801732001317
20260827T043457543402Z,A00_full_without_events,16,49.76361492851676,75.32475104655654,0.33934577629391727
20260827T043457543402Z,A00_full_without_events,17,51.58593519056507,76.21281222775809,0.3231330312755927
20260827T043457543402Z,A00_full_without_events,18,54.933929061029524,76.67292463242012,0.28352897291462587
20260827T043457543402Z,A00_full_without_events,19,55.26052193932928,76.87074222671528,0.28112412683164767
20260827T043457543402Z,A00_full_without_events,20,53.71154260902539,76.69896888622593,0.29970971723622164
20260827T043457543402Z,A00_full_without_events,21,54.399706630425904,76.26200644536749,0.28667354602849693
20260827T043457543402Z,A00_full_without_events,22,55.13119228941843,75.21150580613595,0.26698459632594296
20260827T043457543402Z,A00_full_without_events,23,54.39363491534457,73.87431844661157,0.2637003486583168
20260827T043457543402Z,A00_full_without_events,24,53.380595729470606,72.21063570541858,0.26076546469919804
20260827T043457543402Z,M10_frozen_chronos,1,7.9636487893088255,75.40792956065759,0.8943924221801777
20260827T043457543402Z,M10_frozen_chronos,2,15.133561826139136,74.25889523301069,0.7962054003274246
20260827T043457543402Z,M10_frozen_chronos,3,22.295049480968668,73.73175068710107,0.69761942076239
20260827T043457543402Z,M10_frozen_chronos,4,27.96958240226351,72.76903870519097,0.6156389736632826
20260827T043457543402Z,M10_frozen_chronos,5,33.12624694115178,71.8311824012206,0.5388319413131522
20260827T043457543402Z,M10_frozen_chronos,6,39.24372902630677,71.74750530496222,0.45303005505903515
20260827T043457543402Z,M10_frozen_chronos,7,44.069077519549275,72.13315658433255,0.3890593507019606
20260827T043457543402Z,M10_frozen_chronos,8,48.02640244355848,72.98146214379322,0.3419369654593454
20260827T043457543402Z,M10_frozen_chronos,9,51.24139036686987,73.44464653052647,0.30231279218462925
